STATENAME	POP	SEASON
Louisiana	4575184	2011-12
Maine	1328150	2011-12
Maryland	5838991	2011-12
Massachusetts	6613149	2011-12
Michigan	9881521	2011-12
Minnesota	5345668	2011-12
Mississippi	2978470	2011-12
Missouri	6009641	2011-12
Montana	997221	2011-12
Nebraska	1840538	2011-12
Nevada	2712799	2011-12
New Hampshire	1319815	2011-12
New Jersey	8827783	2011-12
New Mexico	2080395	2011-12
New York	19498514	2011-12
North Carolina	9656754	2011-12
North Dakota	685136	2011-12
Ohio	11543463	2011-12
Oklahoma	3787821	2011-12
Oregon	3871728	2011-12
Pennsylvania	12744583	2011-12
Rhode Island	1053536	2011-12
South Carolina	4671422	2011-12
South Dakota	823484	2011-12
Tennessee	6397410	2011-12
Texas	25646227	2011-12
Utah	2814216	2011-12
Vermont	626979	2011-12
Virginia	8100469	2011-12
Washington	6821655	2011-12
West Virginia	1856074	2011-12
Wisconsin	5704755	2011-12
Wyoming	567224	2011-12
Alabama	4815564	2012-13
Alaska	730399	2012-13
Arizona	6556629	2012-13
Arkansas	2952109	2012-13
California	37960782	2012-13
Colorado	5193721	2012-13
Connecticut	3594395	2012-13
Delaware	915188	2012-13
District of Columbia	634725	2012-13
Florida	19326230	2012-13
Georgia	9901496	2012-13
Hawaii	1394905	2012-13
Idaho	1595441	2012-13
Illinois	12884119	2012-13
Indiana	6537640	2012-13
Iowa	3076097	2012-13
Kansas	2885361	2012-13
Kentucky	4386381	2012-13
Louisiana	4600814	2012-13
Maine	1327691	2012-13
Maryland	5887072	2012-13
Massachusetts	6663158	2012-13
Michigan	9896930	2012-13
Minnesota	5376550	2012-13
Mississippi	2983767	2012-13
Missouri	6024081	2012-13
Montana	1003754	2012-13
Nebraska	1853323	2012-13
Nevada	2744566	2012-13
New Hampshire	1323962	2012-13
New Jersey	8845483	2012-13
New Mexico	2087549	2012-13
New York	19574549	2012-13
North Carolina	9749123	2012-13
North Dakota	701116	2012-13
Ohio	11548369	2012-13
Oklahoma	3818600	2012-13
Oregon	3899118	2012-13
Pennsylvania	12766827	2012-13
Rhode Island	1054601	2012-13
South Carolina	4717112	2012-13
South Dakota	833496	2012-13
Tennessee	6451281	2012-13
Texas	26089620	2012-13
Utah	2853467	2012-13
Vermont	626063	2012-13
Virginia	8185229	2012-13
Washington	6892876	2012-13
West Virginia	1856764	2012-13
Wisconsin	5719855	2012-13
Wyoming	576270	2012-13
Alabama	4830460	2013-14
Alaska	737045	2013-14
Arizona	6634999	2013-14
Arkansas	2959549	2013-14
California	38280824	2013-14
Colorado	5270482	2013-14
Connecticut	3594915	2013-14
Delaware	923638	2013-14
District of Columbia	650431	2013-14
Florida	19563166	2013-14
Georgia	9973326	2013-14
Hawaii	1408453	2013-14
Idaho	1611530	2013-14
Illinois	12898269	2013-14
Indiana	6568367	2013-14
Iowa	3093078	2013-14
Kansas	2893510	2013-14
Kentucky	4404817	2013-14
Louisiana	4624577	2013-14
Maine	1328196	2013-14
Maryland	5923704	2013-14
Massachusetts	6713944	2013-14
Michigan	9913349	2013-14
Minnesota	5413693	2013-14
Mississippi	2988797	2013-14
Missouri	6040658	2013-14
Montana	1013564	2013-14
Nebraska	1865414	2013-14
Nevada	2776972	2013-14
New Hampshire	1326408	2013-14
New Jersey	8858362	2013-14
New Mexico	2092792	2013-14
New York	19628043	2013-14
North Carolina	9843599	2013-14
North Dakota	721999	2013-14
Ohio	11576576	2013-14
Oklahoma	3853205	2013-14
Oregon	3922908	2013-14
Pennsylvania	12776621	2013-14
Rhode Island	1055122	2013-14
South Carolina	4764153	2013-14
South Dakota	842270	2013-14
Tennessee	6493432	2013-14
Texas	26489464	2013-14
Utah	2897927	2013-14
Vermont	626212	2013-14
Virginia	8253053	2013-14
Washington	6962906	2013-14
West Virginia	1853873	2013-14
Wisconsin	5736952	2013-14
Wyoming	582123	2013-14
Alabama	4842481	2014-15
Alaska	736307	2014-15
Arizona	6733840	2014-15
Arkansas	2967726	2014-15
California	38625139	2014-15
Colorado	5351218	2014-15
Connecticut	3594783	2014-15
Delaware	932596	2014-15
District of Columbia	662513	2014-15
Florida	19860330	2014-15
Georgia	10069001	2014-15
Hawaii	1414862	2014-15
Idaho	1631479	2014-15
Illinois	12888962	2014-15
Indiana	6593533	2014-15
Iowa	3109504	2014-15
Kansas	2900896	2014-15
Kentucky	4414483	2014-15
Louisiana	4644204	2014-15
Maine	1330760	2014-15
Maryland	5958165	2014-15
Massachusetts	6763652	2014-15
Michigan	9930589	2014-15
Minnesota	5451522	2014-15
Mississippi	2990623	2014-15
Missouri	6056293	2014-15
Montana	1021891	2014-15
Nebraska	1879522	2014-15
Nevada	2819012	2014-15
New Hampshire	1333223	2014-15
New Jersey	8866780	2014-15
New Mexico	2090342	2014-15
New York	19656330	2014-15
North Carolina	9933944	2014-15
North Dakota	737382	2014-15
Ohio	11602973	2014-15
Oklahoma	3878367	2014-15
Oregon	3964106	2014-15
Pennsylvania	12789101	2014-15
